Location,CityMunicipality,Province,Region,IslandGroup,Headcount,ActiveHC,OnLeaveHC,ResignedHC,PercentOfTotal,ImpactCategory
"Ilocos Norte",,"Ilocos Norte","Region I – Ilocos Region","Luzon",0,0,0,0,0.00,"No HC"
"Ilocos Sur",,"Ilocos Sur","Region I – Ilocos Region","Luzon",0,0,0,0,0.00,"No HC"
"La Union",,"La Union","Region I – Ilocos Region","Luzon",0,0,0,0,0.00,"No HC"
"Pangasinan",,"Pangasinan","Region I – Ilocos Region","Luzon",0,0,0,0,0.00,"No HC"
"Bukidnon",,"Bukidnon","Region X – Northern Mindanao","Mindanao",0,0,0,0,0.00,"No HC"
"Camiguin",,"Camiguin","Region X – Northern Mindanao","Mindanao",0,0,0,0,0.00,"No HC"
"Lanao del Norte",,"Lanao del Norte","Region X – Northern Mindanao","Mindanao",0,0,0,0,0.00,"No HC"
"Misamis Occidental",,"Misamis Occidental","Region X – Northern Mindanao","Mindanao",0,0,0,0,0.00,"No HC"
"Misamis Oriental",,"Misamis Oriental","Region X – Northern Mindanao","Mindanao",0,0,0,0,0.00,"No HC"
"Davao del Norte",,"Davao del Norte","Region XI – Davao Region","Mindanao",0,0,0,0,0.00,"No HC"
"Davao del Sur",,"Davao del Sur","Region XI","Mindanao",1,1,0,0,20.00,"Minimal Impact"
"Davao Oriental",,"Davao Oriental","Region XI – Davao Region","Mindanao",0,0,0,0,0.00,"No HC"
"Davao de Oro",,"Davao de Oro","Region XI – Davao Region","Mindanao",0,0,0,0,0.00,"No HC"
"Davao Occidental",,"Davao Occidental","Region XI – Davao Region","Mindanao",0,0,0,0,0.00,"No HC"
"Cotabato",,"Cotabato","Region XII – SOCCSKSARGEN","Mindanao",0,0,0,0,0.00,"No HC"
"South Cotabato",,"South Cotabato","Region XII – SOCCSKSARGEN","Mindanao",0,0,0,0,0.00,"No HC"
"Sultan Kudarat",,"Sultan Kudarat","Region XII – SOCCSKSARGEN","Mindanao",0,0,0,0,0.00,"No HC"
"Sarangani",,"Sarangani","Region XII – SOCCSKSARGEN","Mindanao",0,0,0,0,0.00,"No HC"
"Abra",,"Abra","CAR – Cordillera Administrative Region","Luzon",0,0,0,0,0.00,"No HC"
"Benguet",,"Benguet","CAR","Luzon",1,0,0,1,20.00,"Minimal Impact"
"Ifugao",,"Ifugao","CAR – Cordillera Administrative Region","Luzon",0,0,0,0,0.00,"No HC"
"Kalinga",,"Kalinga","CAR – Cordillera Administrative Region","Luzon",0,0,0,0,0.00,"No HC"
"Mountain Province",,"Mountain Province","CAR – Cordillera Administrative Region","Luzon",0,0,0,0,0.00,"No HC"
"Apayao",,"Apayao","CAR – Cordillera Administrative Region","Luzon",0,0,0,0,0.00,"No HC"
"Agusan del Norte",,"Agusan del Norte","Region XIII – Caraga","Mindanao",0,0,0,0,0.00,"No HC"
"Agusan del Sur",,"Agusan del Sur","Region XIII – Caraga","Mindanao",0,0,0,0,0.00,"No HC"
"Surigao del Norte",,"Surigao del Norte","Region XIII – Caraga","Mindanao",0,0,0,0,0.00,"No HC"
"Surigao del Sur",,"Surigao del Sur","Region XIII – Caraga","Mindanao",0,0,0,0,0.00,"No HC"
"Dinagat Islands",,"Dinagat Islands","Region XIII – Caraga","Mindanao",0,0,0,0,0.00,"No HC"
"Marinduque",,"Marinduque","MIMAROPA Region","Luzon",0,0,0,0,0.00,"No HC"
"Occidental Mindoro",,"Occidental Mindoro","MIMAROPA Region","Luzon",0,0,0,0,0.00,"No HC"
"Oriental Mindoro",,"Oriental Mindoro","MIMAROPA Region","Luzon",0,0,0,0,0.00,"No HC"
"Palawan",,"Palawan","MIMAROPA Region","Luzon",0,0,0,0,0.00,"No HC"
"Romblon",,"Romblon","MIMAROPA Region","Luzon",0,0,0,0,0.00,"No HC"
"Basilan",,"Basilan","BARMM","Mindanao",0,0,0,0,0.00,"No HC"
"Lanao del Sur",,"Lanao del Sur","BARMM","Mindanao",0,0,0,0,0.00,"No HC"
"Sulu",,"Sulu","BARMM","Mindanao",0,0,0,0,0.00,"No HC"
"Tawi-Tawi",,"Tawi-Tawi","BARMM","Mindanao",0,0,0,0,0.00,"No HC"
"Maguindanao del Norte",,"Maguindanao del Norte","BARMM","Mindanao",0,0,0,0,0.00,"No HC"
"Maguindanao del Sur",,"Maguindanao del Sur","BARMM","Mindanao",0,0,0,0,0.00,"No HC"
"Cotabato City",,"Cotabato City","BARMM","Mindanao",0,0,0,0,0.00,"No HC"
"Batanes",,"Batanes","Region II – Cagayan Valley","Luzon",0,0,0,0,0.00,"No HC"
"Cagayan",,"Cagayan","Region II – Cagayan Valley","Luzon",0,0,0,0,0.00,"No HC"
"Isabela",,"Isabela","Region II – Cagayan Valley","Luzon",0,0,0,0,0.00,"No HC"
"Nueva Vizcaya",,"Nueva Vizcaya","Region II – Cagayan Valley","Luzon",0,0,0,0,0.00,"No HC"
"Quirino",,"Quirino","Region II – Cagayan Valley","Luzon",0,0,0,0,0.00,"No HC"
"Bataan",,"Bataan","Region III – Central Luzon","Luzon",0,0,0,0,0.00,"No HC"
"Bulacan",,"Bulacan","Region III – Central Luzon","Luzon",0,0,0,0,0.00,"No HC"
"Nueva Ecija",,"Nueva Ecija","Region III – Central Luzon","Luzon",0,0,0,0,0.00,"No HC"
"Pampanga",,"Pampanga","Region III – Central Luzon","Luzon",0,0,0,0,0.00,"No HC"
"Tarlac",,"Tarlac","Region III – Central Luzon","Luzon",0,0,0,0,0.00,"No HC"
"Zambales",,"Zambales","Region III – Central Luzon","Luzon",0,0,0,0,0.00,"No HC"
"Aurora",,"Aurora","Region III – Central Luzon","Luzon",0,0,0,0,0.00,"No HC"
"Batangas",,"Batangas","Region IV-A – CALABARZON","Luzon",0,0,0,0,0.00,"No HC"
"Cavite",,"Cavite","Region IV-A – CALABARZON","Luzon",0,0,0,0,0.00,"No HC"
"Laguna",,"Laguna","Region IV-A – CALABARZON","Luzon",0,0,0,0,0.00,"No HC"
"Quezon",,"Quezon","Region IV-A – CALABARZON","Luzon",0,0,0,0,0.00,"No HC"
"Rizal",,"Rizal","Region IV-A – CALABARZON","Luzon",0,0,0,0,0.00,"No HC"
"Albay",,"Albay","Region V – Bicol Region","Luzon",0,0,0,0,0.00,"No HC"
"Camarines Norte",,"Camarines Norte","Region V – Bicol Region","Luzon",0,0,0,0,0.00,"No HC"
"Camarines Sur",,"Camarines Sur","Region V – Bicol Region","Luzon",0,0,0,0,0.00,"No HC"
"Catanduanes",,"Catanduanes","Region V – Bicol Region","Luzon",0,0,0,0,0.00,"No HC"
"Masbate",,"Masbate","Region V – Bicol Region","Luzon",0,0,0,0,0.00,"No HC"
"Sorsogon",,"Sorsogon","Region V – Bicol Region","Luzon",0,0,0,0,0.00,"No HC"
"Aklan",,"Aklan","Region VI – Western Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Antique",,"Antique","Region VI – Western Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Capiz",,"Capiz","Region VI – Western Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Iloilo",,"Iloilo","Region VI – Western Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Negros Occidental",,"Negros Occidental","Region VI – Western Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Guimaras",,"Guimaras","Region VI – Western Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Bohol",,"Bohol","Region VII – Central Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Cebu",,"Cebu","Region VII","Visayas",1,0,0,0,20.00,"Minimal Impact"
"Negros Oriental",,"Negros Oriental","Region VII – Central Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Siquijor",,"Siquijor","Region VII – Central Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Eastern Samar",,"Eastern Samar","Region VIII – Eastern Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Leyte",,"Leyte","Region VIII – Eastern Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Northern Samar",,"Northern Samar","Region VIII – Eastern Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Samar",,"Samar","Region VIII – Eastern Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Southern Leyte",,"Southern Leyte","Region VIII – Eastern Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Biliran",,"Biliran","Region VIII – Eastern Visayas","Visayas",0,0,0,0,0.00,"No HC"
"Zamboanga del Norte",,"Zamboanga del Norte","Region IX – Zamboanga Peninsula","Mindanao",0,0,0,0,0.00,"No HC"
"Zamboanga del Sur",,"Zamboanga del Sur","Region IX – Zamboanga Peninsula","Mindanao",0,0,0,0,0.00,"No HC"
"Zamboanga Sibugay",,"Zamboanga Sibugay","Region IX – Zamboanga Peninsula","Mindanao",0,0,0,0,0.00,"No HC"
"Isabela City",,"Isabela City","Region IX – Zamboanga Peninsula","Mindanao",0,0,0,0,0.00,"No HC"
"Metro Manila",,"Metro Manila","NCR","Luzon",2,2,0,0,40.00,"Critical Impact"
